City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova vicosa,-17.8919,-39.3719,26.98888888888889,80,15,7.49,BR,1707771414
1,saiki,32.95,131.9,7.277777777777779,81,1,7.0,JP,1707771414
2,ust-nera,64.5667,143.2,-39.97222222222223,98,83,1.34,RU,1707771414
3,grytviken,-54.2811,-36.5092,4.527777777777777,95,100,6.64,GS,1707771414
4,avarua,-21.2078,-159.775,29.02777777777778,65,75,11.5,CK,1707771414
5,riosucio,5.4216,-75.7032,26.672222222222228,66,64,2.48,CO,1707771414
6,sao felix do xingu,-6.6447,-51.995,27.05,82,31,4.54,BR,1707771257
7,calama,-22.4667,-68.9333,23.272222222222222,23,0,18.41,CL,1707771366
8,panacan,9.2463,118.4082,23.127777777777776,91,100,6.26,PH,1707771415
9,yarmouth,41.7057,-70.2286,7.01111111111111,71,0,5.75,US,1707771415
10,olonkinbyen,70.9221,-8.7187,-1.5111111111111106,88,100,14.76,SJ,1707771415
11,laguna,38.421,-121.4238,17.227777777777778,60,0,4.61,US,1707771415
12,quincy,42.2529,-71.0023,9.488888888888889,53,75,5.75,US,1707771415
13,fortuna,40.5982,-124.1573,13.85,87,0,4.61,US,1707771415
14,adamstown,-25.066,-130.1015,24.93888888888889,90,100,16.8,PN,1707771415
15,mutuali,-14.8706,37.0044,21.13888888888889,95,100,2.33,MZ,1707771415
16,papatowai,-46.5619,169.4708,15.277777777777779,61,100,5.1,NZ,1707771415
17,daru,-9.0763,143.2092,25.27777777777778,89,91,5.64,PG,1707771415
18,albany,42.6001,-73.9662,4.227777777777778,65,100,1.99,US,1707771254
19,jamestown,42.097,-79.2353,5.2888888888888905,66,100,1.99,US,1707771275
20,college,64.8569,-147.8028,-10.861111111111112,80,75,3.44,US,1707771416
21,gamay,12.3854,125.2979,24.372222222222227,91,77,12.53,PH,1707771416
22,ancud,-41.8697,-73.8203,17.01111111111111,50,27,5.41,CL,1707771416
23,puerto ayora,-0.7393,-90.3518,28.077777777777783,91,42,5.01,EC,1707771416
24,stanley,54.868,-1.6985,5.98888888888889,83,20,13.8,GB,1707771416
25,kodinsk,58.6881,99.1844,-13.63888888888889,93,100,9.42,RU,1707771416
26,ubari,26.5921,12.7805,17.372222222222224,31,0,7.96,LY,1707771416
27,talnakh,69.4865,88.3972,-35.988888888888894,90,15,3.85,RU,1707771416
28,suntar,62.1444,117.6319,-25.772222222222222,96,100,5.44,RU,1707771416
29,merizo village,13.2658,144.6691,25.85,84,100,24.18,GU,1707771417
30,ushuaia,-54.8,-68.3,12.788888888888891,54,20,13.8,AR,1707771192
31,dzilam gonzalez,21.2833,-88.9333,27.82777777777778,66,39,10.4,MX,1707771417
32,vila franca do campo,37.7167,-25.4333,18.272222222222222,99,42,20.47,PT,1707771417
33,kapuskasing,49.4169,-82.4331,-4.0,63,75,5.75,CA,1707771417
34,constantia,44.1833,28.65,7.377777777777779,80,98,12.75,RO,1707771417
35,longboat key,27.4125,-82.659,26.811111111111114,72,100,24.16,US,1707771417
36,happy valley-goose bay,53.3168,-60.3315,-2.827777777777778,80,100,10.36,CA,1707771417
37,atafu village,-8.5421,-172.5159,28.672222222222224,80,100,17.58,TK,1707771417
38,invercargill,-46.4,168.35,16.122222222222224,73,100,7.0,NZ,1707771417
39,walvis bay,-22.9575,14.5053,19.527777777777782,82,5,2.3,NA,1707771417
40,swakopmund,-22.6833,14.5333,19.47222222222222,87,24,7.0,NA,1707771418
41,muroto-misakicho,33.2833,134.15,11.372222222222222,60,1,5.44,JP,1707771418
42,waitangi,-43.9535,-176.5597,15.46111111111111,90,86,5.99,NZ,1707771418
43,hermanus,-34.4187,19.2345,20.450000000000003,95,57,2.89,ZA,1707771418
44,hamilton,39.1834,-84.5333,10.450000000000001,51,0,11.5,US,1707771418
45,longyearbyen,78.2186,15.6401,-15.08888888888889,85,0,10.36,SJ,1707771418
46,port-aux-francais,-49.35,70.2167,7.172222222222221,91,50,31.03,TF,1707771418
47,ilhabela,-23.7781,-45.3581,27.849999999999998,80,73,6.49,BR,1707771418
48,am timan,11.0297,20.2827,29.011111111111113,15,78,5.77,TD,1707771418
49,east london,-33.0153,27.9116,22.950000000000003,83,0,19.62,ZA,1707771419
50,bethel,41.3712,-73.414,6.527777777777778,63,20,6.91,US,1707771274
51,hawaiian paradise park,19.5933,-154.9731,26.688888888888894,71,0,5.75,US,1707771419
52,hastings,50.8552,0.5729,8.072222222222223,43,72,7.25,GB,1707771419
53,vadso,70.0744,29.7487,-6.911111111111112,86,75,14.97,NO,1707771419
54,wailua homesteads,22.0669,-159.378,25.438888888888894,56,0,4.0,US,1707771419
55,west island,-12.1568,96.8225,27.988888888888887,83,100,5.75,CC,1707771419
56,port mathurin,-19.6833,63.4167,27.28888888888889,85,47,20.47,MU,1707771419
57,el calafate,-50.3408,-72.2768,12.722222222222221,51,100,4.9,AR,1707771419
58,ribeira grande,38.5167,-28.7,17.650000000000002,82,75,27.0,PT,1707771419
59,hami,42.8,93.45,-0.09999999999999985,42,100,6.4,CN,1707771420
60,castrocaro terme e terra del sole,44.1824,11.9556,9.227777777777778,89,100,2.59,IT,1707771420
61,mangalia,43.8,28.5833,9.727777777777778,81,98,12.48,RO,1707771420
62,kill devil hills,36.0307,-75.676,9.011111111111111,99,100,9.22,US,1707771254
63,trinidad,-14.8333,-64.9,26.98888888888889,89,75,12.66,BO,1707771128
64,sumter,28.7086,-82.0831,28.938888888888894,53,98,13.0,US,1707771420
65,nar'yan-mar,67.6713,53.087,-32.72222222222222,100,64,5.01,RU,1707771420
66,yellowknife,62.456,-114.3525,-8.711111111111112,92,75,9.22,CA,1707771420
67,margaret river,-33.95,115.0667,13.900000000000002,80,0,12.57,AU,1707771420
68,saipan,15.1355,145.701,25.388888888888893,73,0,18.41,MP,1707771420
69,iskateley,67.6803,53.1512,-32.77222222222222,100,49,5.01,RU,1707771420
70,el granada,37.5027,-122.4694,17.750000000000004,70,0,8.05,US,1707771185
71,kerikeri,-35.2268,173.9474,21.06111111111111,83,97,1.9,NZ,1707771421
72,la ronge,55.1001,-105.2842,-1.861111111111112,64,75,3.44,CA,1707771421
73,blackmans bay,-43.0167,147.3167,14.28888888888889,90,78,1.99,AU,1707771421
74,klyuchi,52.2667,79.1667,-14.57777777777778,90,53,7.43,RU,1707771421
75,yakeshi,49.2833,120.7333,-10.861111111111112,96,99,4.74,CN,1707771421
76,port lincoln,-34.7333,135.8667,16.177777777777777,78,0,5.88,AU,1707771421
77,sisimiut,66.9395,-53.6735,-23.600000000000005,85,27,6.08,GL,1707771421
78,coquimbo,-29.9533,-71.3436,20.85,73,20,12.66,CL,1707771140
79,edinburgh of the seven seas,-37.0676,-12.3116,17.66111111111111,68,100,14.88,SH,1707771421
80,petropavlovsk-kamchatsky,53.0452,158.6483,-18.07777777777778,81,0,11.18,RU,1707771421
81,klaksvik,62.2266,-6.589,4.51111111111111,80,100,5.1,FO,1707771421
82,keflavik,64.0049,-22.5624,1.949999999999999,86,0,19.57,IS,1707771421
83,bilibino,68.0546,166.4372,-31.211111111111112,98,98,4.21,RU,1707771422
84,punta arenas,-53.15,-70.9167,13.06111111111111,54,100,18.41,CL,1707771422
85,saudarkrokur,65.7461,-19.6394,0.23888888888888873,97,100,18.63,IS,1707771422
86,vorgashor,67.5833,63.95,-37.1,100,27,3.85,RU,1707771422
87,thompson,55.7435,-97.8558,-7.9111111111111105,79,75,5.75,CA,1707771422
88,tiksi,71.6872,128.8694,-32.800000000000004,100,100,2.19,RU,1707771422
89,san patricio,28.017,-97.5169,18.972222222222225,36,0,15.97,US,1707771422
90,ta`u,-14.2336,-169.5144,27.950000000000003,84,98,15.21,AS,1707771422
91,vahdat,38.5563,69.0135,5.411111111111112,61,49,4.47,TJ,1707771422
92,mitu,1.1983,-70.1733,27.522222222222226,74,100,1.39,CO,1707771423
93,saint-georges,12.0564,-61.7485,29.822222222222226,70,20,13.8,GD,1707771423
94,jianshui,23.6363,102.8264,10.288888888888891,94,2,3.36,CN,1707771423
95,awjilah,29.1081,21.2869,14.85,49,7,8.81,LY,1707771423
96,carnarvon,-24.8667,113.6333,24.86111111111111,71,0,17.81,AU,1707771423
97,plastun,44.7561,136.2939,-4.95,82,5,5.73,RU,1707771423
98,caiaponia,-16.9567,-51.8103,24.722222222222225,78,51,5.68,BR,1707771316
99,enewetak,11.3474,162.3373,26.477777777777778,76,99,21.3,MH,1707771423
100,lorengau,-2.0226,147.2712,27.48888888888889,80,100,9.17,PG,1707771423
101,sur,22.5667,59.5289,21.611111111111114,80,94,8.23,OM,1707771424
102,sola,-13.8833,167.55,27.52777777777778,73,99,10.07,VU,1707771424
103,myrina,39.8797,25.0742,14.327777777777778,70,100,7.18,GR,1707771424
104,gordonvale,-17.0936,145.7842,24.95,100,32,3.33,AU,1707771424
105,aykhal,66.0,111.5,-37.76111111111111,100,100,5.48,RU,1707771424
106,mahibadhoo,3.7833,72.9667,27.2,77,99,11.43,MV,1707771424
107,kapa'a,22.0752,-159.319,26.17777777777778,56,0,4.0,US,1707771424
108,udachny,66.4167,112.4,-36.422222222222224,66,100,9.01,RU,1707771424
109,nchelenge,-9.3451,28.734,21.838888888888892,88,100,3.96,ZM,1707771424
110,orapa,-21.2833,25.3667,25.87222222222222,41,0,15.88,BW,1707771425
111,qaqortoq,60.7167,-46.0333,-5.0,95,100,10.49,GL,1707771425
112,vyaz'ma,55.2104,34.2951,-0.7222222222222227,98,100,5.46,RU,1707771425
113,rabo de peixe,37.8,-25.5833,17.772222222222226,99,75,16.11,PT,1707771425
114,cill airne,52.05,-9.5167,5.311111111111113,90,80,5.55,IE,1707771425
115,puerto natales,-51.7236,-72.4875,12.588888888888887,61,100,4.25,CL,1707771425
116,borogontsy,62.6683,131.1683,-26.23888888888889,99,100,3.58,RU,1707771425
117,palikir - national government center,6.9248,158.1611,27.411111111111115,78,100,8.05,FM,1707771425
118,san luis,-33.295,-66.3356,25.038888888888888,35,0,20.0,AR,1707771425
119,boa vista,2.8197,-60.6733,33.988888888888894,40,75,14.97,BR,1707771425
120,vilyuchinsk,52.9306,158.4028,-17.261111111111113,88,8,7.92,RU,1707771425
121,hammerfest,70.6634,23.6821,-4.750000000000001,74,0,4.61,NO,1707771426
122,bryan,30.6744,-96.37,15.422222222222222,45,0,18.41,US,1707771426
123,sibenik,43.7272,15.9058,10.211111111111112,89,27,1.01,HR,1707771426
124,tura,25.5198,90.2201,11.900000000000002,31,18,2.42,IN,1707771426
125,tazovsky,67.4667,78.7,-38.56111111111111,100,27,3.31,RU,1707771426
126,weno,7.4515,151.8468,26.97222222222222,78,100,13.8,FM,1707771426
127,aflao,6.116,1.1914,30.07222222222222,84,20,9.22,TG,1707771426
128,iqaluit,63.7506,-68.5145,-25.15,69,100,6.91,CA,1707771426
